PR, TFIDF, URI
0.9,.00741,https://www.youtube.com/watch?v=_6mtcKN1o-E
0.6,.00276,http://www.patheos.com/blogs/poptheology/2017/01/shuffled-selections-january-22-28/?utm_campaign=shareaholic&utm_medium=twitter&utm_source=socialnetwork
0.4,.00380,http://www.lapetitemortgallery.com/nyc-artist-james-brown-drawing/
0.2,.00143,http://www.newslocker.com/en-us/music/r-and-b-hip-hop-news/see-this-amazing-nj-teen-blend-hop-hop-jazz-and-rampb-on-youtube-njcom/
0.9,.00642,https://www.youtube.com/watch?v=jbe_1sNGQ2o
0.5,.00424,http://www.lctmag.com/operations/news/719804/empirecls-adds-mci-luxury-buses-with-3-point-seatbelts?utm_source=dlvr.it&utm_medium=twitter
0.4,.00400,https://www.talkbass.com/threads/fender-marcus-miller-mij-jazz-with-j-east-preamp.1266114/?utm_source=dlvr.it&utm_medium=twitter
0.8,.00168,https://www.theatlantic.com/entertainment/archive/2017/01/missy-elliott-im-better-jamiroquai-automaton-videos/514736/?utm_source=twb
0.4,.00434,http://thesop.org/story/20170131/judyth-piazza-interviews-renowned-jazz-vocalist-jan-daley.html
0.9,.00889,https://www.youtube.com/watch?v=C7uYx1J0hzU
